Version,Scenario,MAE,Jumpiness,CSV
V1,Baseline,2785.9139762613313,0.22859685875993932,results_V1_Baseline_24h.csv
V1,Hot,1029.4061333688726,0.2081159504160928,results_V1_Hot_24h.csv
V1,Cold,6061.492597191666,0.2519477077280987,results_V1_Cold_24h.csv
V1,Heavy,10005.611744818489,0.23107605412099674,results_V1_Heavy_24h.csv
V1,Light,728.2164915565035,0.22840090741790994,results_V1_Light_24h.csv
V2,Baseline,4540.704381874807,0.12606335204594957,results_V2_Baseline_24h.csv
V2,Hot,2987.488797673678,0.11123940091899209,results_V2_Hot_24h.csv
V2,Cold,7882.399046342214,0.17194461047002857,results_V2_Cold_24h.csv
V2,Heavy,11507.298569247394,0.11899030081319562,results_V2_Heavy_24h.csv
V2,Light,1659.427499524053,0.13455222841264372,results_V2_Light_24h.csv
