Version,Scenario,MAE,Jumpiness,CSV
V1,Baseline,935.4783684814219,4.9213043900971085,results_V1_Baseline_24h_complex.csv
V1,Hot,589.7048650583379,2.3209287144527133,results_V1_Hot_24h_complex.csv
V1,Cold,1986.592919684212,7.476323889857487,results_V1_Cold_24h_complex.csv
V1,Heavy,5739.569109212861,5.566866260026157,results_V1_Heavy_24h_complex.csv
V1,Light,1494.1614066564637,4.264444982002106,results_V1_Light_24h_complex.csv
V2,Baseline,2365.895482051386,0.223928068611905,results_V2_Baseline_24h_complex.csv
V2,Hot,1774.3343322397857,0.24420769916318474,results_V2_Hot_24h_complex.csv
V2,Cold,2223.7167664624644,0.14164652160325536,results_V2_Cold_24h_complex.csv
V2,Heavy,8078.952504762934,0.19437613950409155,results_V2_Heavy_24h_complex.csv
V2,Light,437.49377450694095,0.23992400375004336,results_V2_Light_24h_complex.csv
