time,true_air,est,door,compressor,filtered_temp,food_proxy,true_food,target,active_rate,confidence,alpha
1,2.00162,3604.45,0,0,2,2,2,4,25,2,1.13e-05
2,2.00325,3608.9,0,0,2,2,2,4,25,2,1.13e-05
3,2.00487,3613.34,0,0,2,2,2,4,25,2,1.13e-05
4,2.00649,3617.78,0,0,2,2,2,4,25,2,1.13e-05
5,2.00811,3622.21,0,0,2,2,2,4,25,2,1.13e-05
6,2.00973,3626.64,0,0,2,2,2,4,25,2,1.13e-05
7,2.01135,3631.06,0,0,2,2,2,4,25,2,1.13e-05
8,2.01297,3635.48,0,0,2,2,2,4,25,2,1.13e-05
9,2.01458,3639.9,0,0,2,2,2,4,25,2,1.13e-05
10,2.0162,3644.31,0,0,2.00254,2,2,4,25,2,1.13e-05
11,2.01781,3648.71,0,0,2.00733,2,2,4,25,2,1.13e-05
12,2.01943,3653.11,0,0,2.01165,2,2.00001,4,25,2,1.13e-05
13,2.02104,3657.51,0,0,2.01302,2,2.00001,4,25,2,1.13e-05
14,2.02265,3661.9,0,0,2.01677,2,2.00001,4,25,2,1.13e-05
15,2.02426,3666.29,0,0,2.02515,2,2.00001,4,25,2,1.13e-05
16,2.02587,3670.68,0,0,2.02768,2.00001,2.00001,4,25,2.00001,1.13e-05
17,2.02748,3675.06,0,0,2.03496,2.00001,2.00001,4,25,2.00001,1.13e-05
18,2.02909,3679.43,0,0,2.04152,2.00001,2.00001,4,25,2.00001,1.13e-05
19,2.03069,3683.8,0,0,2.04743,2.00001,2.00001,4,25,2.00001,1.13e-05
20,2.0323,3688.17,0,0,2.0377,2.00001,2.00002,4,25,2.00001,1.13e-05
21,2.0339,3692.53,0,0,2.02895,2.00001,2.00002,4,25,2.00001,1.13e-05
22,2.03551,3696.89,0,0,2.01102,2.00002,2.00002,4,25,2.00002,1.13e-05
23,2.03711,3701.24,0,0,2.00494,2.00002,2.00002,4,25,2.00002,1.13e-05
24,2.03871,3705.59,0,0,2.022,2.00002,2.00002,4,25,2.00002,1.13e-05
25,2.04031,3709.94,0,0,2.03736,2.00002,2.00003,4,25,2.00002,1.13e-05
26,2.04191,3714.28,0,0,2.02864,2.00002,2.00003,4,25,2.00002,1.13e-05
27,2.04351,3718.62,0,0,2.02079,2.00002,2.00003,4,25,2.00002,1.13e-05
28,2.04511,3722.95,0,0,2.01373,2.00002,2.00003,4,25,2.00002,1.13e-05
29,2.0467,3727.28,0,0,2.00738,2.00002,2.00003,4,25,2.00002,1.13e-05
30,2.0483,3731.6,0,0,2.00918,2.00002,2.00004,4,25,2.00002,1.13e-05
31,2.04989,3735.92,0,0,2.02582,2.00002,2.00004,4,25,2.00002,1.13e-05
32,2.05148,3740.23,0,0,2.04079,2.00003,2.00004,4,25,2.00003,1.13e-05
33,2.05308,3744.54,0,0,2.05427,2.00003,2.00004,4,25,2.00003,1.13e-05
34,2.05467,3748.85,0,0,2.05139,2.00003,2.00005,4,25,2.00003,1.13e-05
35,2.05626,3753.15,0,0,2.04879,2.00003,2.00005,4,25,2.00003,1.13e-05
36,2.05785,3757.45,0,0,2.04144,2.00004,2.00005,4,25,2.00004,1.13e-05
37,2.05944,3761.74,0,0,2.03482,2.00004,2.00006,4,25,2.00004,1.13e-05
38,2.06102,3766.03,0,0,2.02886,2.00004,2.00006,4,25,2.00004,1.13e-05
39,2.06261,3770.31,0,0,2.02099,2.00004,2.00006,4,25,2.00004,1.13e-05
40,2.0642,3774.59,0,0,2.01391,2.00004,2.00006,4,25,2.00004,1.13e-05
41,2.06578,3778.87,0,0,2.00754,2.00004,2.00007,4,25,2.00004,1.13e-05
42,2.06736,3783.14,0,0,2.0018,2.00004,2.00007,4,25,2.00004,1.13e-05
43,2.06895,3787.41,0,0,1.99664,2.00004,2.00007,4,25,2.00004,1.13e-05
44,2.07053,3791.67,0,0,1.9744,2.00004,2.00008,4,25,2.00004,1.13e-05
45,2.07211,3795.93,0,0,1.95438,2.00004,2.00008,4,25,2.00004,1.13e-05
46,2.07369,3800.18,0,0,1.93636,2.00003,2.00008,4,25,2.00003,1.13e-05
47,2.07527,3804.43,0,0,1.92014,2.00003,2.00009,4,25,2.00003,1.13e-05
48,2.07684,3808.68,0,0,1.93067,2.00003,2.00009,4,25,2.00003,1.13e-05
49,2.07842,3812.92,0,0,1.94014,2.00002,2.0001,4,25,2.00002,1.13e-05
50,2.08,3817.16,0,0,1.94867,2.00002,2.0001,4,25,2.00002,1.13e-05
51,2.08157,3821.39,0,0,1.95634,2.00002,2.0001,4,25,2.00002,1.13e-05
52,2.08314,3825.62,0,0,1.95824,2.00002,2.00011,4,25,2.00002,1.13e-05
53,2.08472,3829.85,0,0,1.95492,2.00001,2.00011,4,25,2.00001,1.13e-05
54,2.08629,3834.07,0,0,1.95193,2.00001,2.00012,4,25,2.00001,1.13e-05
55,2.08786,3838.29,0,0,1.95427,2.00001,2.00012,4,25,2.00001,1.13e-05
56,2.08943,3842.5,0,0,1.95135,2.00001,2.00013,4,25,2.00001,1.13e-05
57,2.091,3846.71,0,0,1.94872,2.00001,2.00013,4,25,2.00001,1.13e-05
58,2.09256,3850.91,0,0,1.94635,2,2.00013,4,25,2,1.13e-05
59,2.09413,3855.11,0,0,1.94423,2,2.00014,4,25,2,1.13e-05
60,2.0957,3859.3,0,0,1.94231,2,2.00014,4,25,2,1.13e-05
61,2.13859,3863.5,1,0,1.94059,1.99999,2.00015,4,25,1.99999,1.13e-05
62,2.18131,3867.68,1,0,1.94405,1.99999,2.00016,4,25,1.99999,1.13e-05
63,2.22387,3871.87,1,0,1.9597,1.99999,2.00017,4,25,1.99999,1.13e-05
64,2.26627,3876.04,1,0,1.97879,1.99999,2.00018,4,25,1.99999,1.13e-05
65,2.3085,3880.22,1,0,1.99097,1.99999,2.00019,4,25,1.99999,1.13e-05
66,2.35058,3884.39,1,0,2.00192,1.99999,2.00021,4,25,1.99999,1.13e-05
67,2.39249,3888.56,1,0,2.01679,1.99999,2.00023,4,25,1.99999,1.13e-05
68,2.43424,3892.72,1,0,2.03517,1.99999,2.00025,4,25,1.99999,1.13e-05
69,2.47584,3896.88,1,0,2.06169,1.99999,2.00027,4,25,1.99999,1.13e-05
70,2.51727,3901.03,1,0,2.10795,2,2.0003,4,25,2,1.13e-05
71,2.55855,3905.18,1,0,2.13217,2.00001,2.00032,4,25,2.00001,1.13e-05
72,2.59966,3909.32,1,0,2.18626,2.00001,2.00035,4,25,2.00001,1.13e-05
73,2.64063,3913.47,1,0,2.23494,2.00003,2.00038,4,25,2.00003,1.13e-05
74,2.68143,3917.6,1,0,2.29359,2.00004,2.00042,4,25,2.00004,1.13e-05
75,2.72208,3921.74,1,0,2.33154,2.00006,2.00045,4,25,2.00006,1.13e-05
76,2.76257,3925.86,1,0,2.38053,2.00008,2.00049,4,25,2.00008,1.13e-05
77,2.8029,3932.99,1,0,2.42462,2.0001,2.00053,4,19.0399,2.0001,1.13e-05
78,2.84309,3940.16,1,0,2.4643,2.00012,2.00057,4,18.9599,2.00012,1.13e-05
79,2.88312,3947.37,1,0,2.51727,2.00015,2.00061,4,18.8901,2.00015,1.13e-05
80,2.92299,3954.62,1,0,2.56495,2.00017,2.00066,4,18.8296,2.00017,1.13e-05
81,2.92404,3961.86,0,0,2.60293,2.0002,2.0007,4,18.8296,2.0002,1.13e-05
82,2.92509,3969.09,0,0,2.63958,2.00024,2.00075,4,18.8296,2.00024,1.13e-05
83,2.92613,3976.32,0,0,2.6701,2.00027,2.0008,4,18.8296,2.00027,1.13e-05
84,2.92718,3983.53,0,0,2.70003,2.0003,2.00084,4,18.8296,2.0003,1.13e-05
85,2.92823,3990.74,0,0,2.72696,2.00034,2.00089,4,18.8296,2.00034,1.13e-05
86,2.92927,3997.95,0,0,2.75367,2.00038,2.00094,4,18.8296,2.00038,1.13e-05
87,2.93032,4005.14,0,0,2.77771,2.00042,2.00098,4,18.8296,2.00042,1.13e-05
88,2.93136,4012.33,0,0,2.79688,2.00046,2.00103,4,18.8296,2.00046,1.13e-05
