time,true_air,est,door,compressor,filtered_temp,food_proxy,true_food,target,active_rate,confidence,alpha
1,2.00412,3604.45,0,0,2,2,2,4,25,2,1.13e-05
2,2.00824,3608.9,0,0,2,2,2,4,25,2,1.13e-05
3,2.01236,3613.34,0,0,2,2,2,4,25,2,1.13e-05
4,2.01648,3617.78,0,0,2,2,2,4,25,2,1.13e-05
5,2.02059,3622.21,0,0,2,2,2,4,25,2,1.13e-05
6,2.0247,3626.64,0,0,2,2,2,4,25,2,1.13e-05
7,2.02881,3631.06,0,0,2,2,2.00001,4,25,2,1.13e-05
8,2.03292,3635.48,0,0,2,2,2.00001,4,25,2,1.13e-05
9,2.03702,3639.9,0,0,2,2,2.00001,4,25,2,1.13e-05
10,2.04112,3644.31,0,0,2.00505,2,2.00001,4,25,2,1.13e-05
11,2.04522,3648.71,0,0,2.01209,2,2.00001,4,25,2,1.13e-05
12,2.04932,3653.11,0,0,2.01844,2,2.00001,4,25,2,1.13e-05
13,2.05341,3657.51,0,0,2.02164,2,2.00002,4,25,2,1.13e-05
14,2.0575,3661.9,0,0,2.02703,2,2.00002,4,25,2,1.13e-05
15,2.06159,3666.29,0,0,2.03688,2.00001,2.00002,4,25,2.00001,1.13e-05
16,2.06567,3670.68,0,0,2.04074,2.00001,2.00003,4,25,2.00001,1.13e-05
17,2.06975,3675.06,0,0,2.04923,2.00001,2.00003,4,25,2.00001,1.13e-05
18,2.07384,3679.43,0,0,2.05686,2.00001,2.00003,4,25,2.00001,1.13e-05
19,2.07791,3683.8,0,0,2.06373,2.00002,2.00004,4,25,2.00002,1.13e-05
20,2.08199,3688.17,0,0,2.05739,2.00002,2.00004,4,25,2.00002,1.13e-05
21,2.08606,3692.53,0,0,2.05169,2.00002,2.00005,4,25,2.00002,1.13e-05
22,2.09013,3696.89,0,0,2.034,2.00002,2.00005,4,25,2.00002,1.13e-05
23,2.0942,3701.24,0,0,2.03064,2.00003,2.00005,4,25,2.00003,1.13e-05
24,2.09826,3705.59,0,0,2.05262,2.00003,2.00006,4,25,2.00003,1.13e-05
25,2.10233,3709.94,0,0,2.07241,2.00003,2.00006,4,25,2.00003,1.13e-05
26,2.10639,3714.28,0,0,2.0652,2.00003,2.00007,4,25,2.00003,1.13e-05
27,2.11044,3718.62,0,0,2.05871,2.00004,2.00007,4,25,2.00004,1.13e-05
28,2.1145,3722.95,0,0,2.05288,2.00004,2.00008,4,25,2.00004,1.13e-05
29,2.11855,3727.27,0,0,2.04762,2.00004,2.00009,4,25,2.00004,1.13e-05
30,2.1226,3731.6,0,0,2.05292,2.00005,2.00009,4,25,2.00005,1.13e-05
31,2.12665,3735.92,0,0,2.07267,2.00005,2.0001,4,25,2.00005,1.13e-05
32,2.13069,3740.23,0,0,2.09045,2.00005,2.0001,4,25,2.00005,1.13e-05
33,2.13473,3744.54,0,0,2.10646,2.00006,2.00011,4,25,2.00006,1.13e-05
