time,true_air,est,door,compressor,filtered_temp,food_proxy,true_food,target,active_rate,confidence,alpha
1,2.00287,3604.45,0,0,2,2,2,4,25,2,1.13e-05
2,2.00575,3608.9,0,0,2,2,2,4,25,2,1.13e-05
3,2.00862,3613.34,0,0,2,2,2,4,25,2,1.13e-05
4,2.01149,3617.78,0,0,2,2,2,4,25,2,1.13e-05
5,2.01435,3622.21,0,0,2,2,2,4,25,2,1.13e-05
6,2.01722,3626.64,0,0,2,2,2.00001,4,25,2,1.13e-05
7,2.02008,3631.06,0,0,2,2,2.00001,4,25,2,1.13e-05
8,2.02294,3635.48,0,0,2,2,2.00001,4,25,2,1.13e-05
9,2.0258,3639.9,0,0,2,2,2.00001,4,25,2,1.13e-05
10,2.02866,3644.31,0,0,2.00505,2,2.00001,4,25,2,1.13e-05
11,2.03152,3648.71,0,0,2.01209,2,2.00002,4,25,2,1.13e-05
12,2.03437,3653.11,0,0,2.01844,2,2.00002,4,25,2,1.13e-05
13,2.03722,3657.51,0,0,2.02164,2,2.00002,4,25,2,1.13e-05
14,2.04008,3661.9,0,0,2.02703,2,2.00003,4,25,2,1.13e-05
15,2.04292,3666.29,0,0,2.03438,2.00001,2.00003,4,25,2.00001,1.13e-05
16,2.04577,3670.68,0,0,2.03849,2.00001,2.00004,4,25,2.00001,1.13e-05
17,2.04862,3675.06,0,0,2.0447,2.00001,2.00004,4,25,2.00001,1.13e-05
18,2.05146,3679.43,0,0,2.05028,2.00001,2.00005,4,25,2.00001,1.13e-05
19,2.0543,3683.8,0,0,2.05531,2.00002,2.00005,4,25,2.00002,1.13e-05
20,2.05714,3688.17,0,0,2.0473,2.00002,2.00006,4,25,2.00002,1.13e-05
21,2.05998,3692.53,0,0,2.0401,2.00002,2.00006,4,25,2.00002,1.13e-05
22,2.06282,3696.89,0,0,2.02357,2.00002,2.00007,4,25,2.00002,1.13e-05
23,2.06565,3701.24,0,0,2.01874,2.00002,2.00008,4,25,2.00002,1.13e-05
24,2.06849,3705.59,0,0,2.03692,2.00002,2.00008,4,25,2.00002,1.13e-05
25,2.07132,3709.94,0,0,2.05329,2.00003,2.00009,4,25,2.00003,1.13e-05
26,2.07415,3714.28,0,0,2.04548,2.00003,2.0001,4,25,2.00003,1.13e-05
27,2.07698,3718.62,0,0,2.03846,2.00003,2.0001,4,25,2.00003,1.13e-05
28,2.0798,3722.95,0,0,2.03214,2.00003,2.00011,4,25,2.00003,1.13e-05
29,2.08263,3727.28,0,0,2.02645,2.00003,2.00012,4,25,2.00003,1.13e-05
30,2.08545,3731.6,0,0,2.03136,2.00004,2.00013,4,25,2.00004,1.13e-05
31,2.08827,3735.92,0,0,2.04828,2.00004,2.00014,4,25,2.00004,1.13e-05
32,2.09109,3740.23,0,0,2.06351,2.00004,2.00015,4,25,2.00004,1.13e-05
33,2.09391,3744.54,0,0,2.07721,2.00004,2.00016,4,25,2.00004,1.13e-05
34,2.09672,3748.85,0,0,2.07704,2.00005,2.00016,4,25,2.00005,1.13e-05
35,2.09953,3753.15,0,0,2.07689,2.00005,2.00017,4,25,2.00005,1.13e-05
36,2.10235,3757.45,0,0,2.07174,2.00006,2.00018,4,25,2.00006,1.13e-05
37,2.10516,3761.74,0,0,2.06711,2.00006,2.00019,4,25,2.00006,1.13e-05
38,2.10797,3766.03,0,0,2.06294,2.00006,2.00021,4,25,2.00006,1.13e-05
39,2.11077,3770.31,0,0,2.05417,2.00006,2.00022,4,25,2.00006,1.13e-05
40,2.11358,3774.59,0,0,2.04628,2.00007,2.00023,4,25,2.00007,1.13e-05
41,2.11638,3778.87,0,0,2.03918,2.00007,2.00024,4,25,2.00007,1.13e-05
42,2.11918,3783.14,0,0,2.03279,2.00007,2.00025,4,25,2.00007,1.13e-05
43,2.12198,3787.41,0,0,2.02704,2.00007,2.00026,4,25,2.00007,1.13e-05
44,2.12478,3791.67,0,0,2.00679,2.00007,2.00028,4,25,2.00007,1.13e-05
45,2.12758,3795.93,0,0,1.98856,2.00007,2.00029,4,25,2.00007,1.13e-05
46,2.13037,3800.18,0,0,1.97216,2.00007,2.0003,4,25,2.00007,1.13e-05
47,2.13316,3804.43,0,0,1.9574,2.00007,2.00031,4,25,2.00007,1.13e-05
