time,temp,est,door,compressor
1,2.00034,86400,1,0
2,2.15057,2395.54,1,0
3,2.05047,7610.92,1,0
4,2.00034,86400,1,0
5,2.27543,1185.39,1,0
6,2.30038,1066.83,1,0
7,2.3253,966.802,1,0
8,2.3253,965.517,1,0
9,2.44976,636.958,1,0
10,2.47462,591.555,1,0
11,2.57393,489.465,0,0
12,2.42489,670.68,0,0
13,2.27543,1063.55,0,0
14,2.54912,518.008,0,0
15,2.59873,475.921,0,0
16,2.44976,645.533,0,0
17,2.54912,525.605,0,0
18,2.35022,854.716,0,0
19,2.44976,655.308,0,0
20,2.47462,621.605,0,0
21,2.57393,509.753,0,0
22,2.40001,757.765,0,0
23,2.57393,514.052,0,0
24,2.52429,569.748,0,0
25,2.54912,544.477,0,0
26,2.35022,905.499,0,0
27,2.42489,729.761,0,0
28,2.49946,611.79,0,0
29,2.35022,922.665,0,0
30,2.59873,504.581,0,0
31,2.57393,531.416,0,0
32,2.57393,534.086,0,0
33,2.49946,628.032,0,0
34,2.49946,631.188,0,0
35,2.6483,472.261,0,0
36,2.37512,897.847,0,0
37,2.3253,1078.63,0,0
38,2.44976,727.318,0,0
39,2.47462,685.679,0,0
40,2.40001,847.529,0,0
41,2.52429,615.076,0,0
42,2.72256,427.632,0,0
43,2.57393,559.774,0,0
44,2.40001,873.174,0,0
45,2.54912,594.68,0,0
46,2.62352,514.497,0,0
47,2.40001,891.746,0,0
48,2.54912,603.194,0,0
49,2.52429,641.308,0,0
50,2.52429,644.53,0,0
51,2.52429,647.769,0,0
52,2.54912,614.9,0,0
53,2.42489,857.234,0,0
54,2.57393,587.366,0,0
55,2.77202,414.227,0,0
56,2.47462,757.063,0,0
57,2.52429,668.946,0,0
58,2.37512,1058.08,0,0
59,2.57393,601.276,0,0
60,2.67307,496.226,0,0
61,2.49946,727.793,0,0
62,2.57393,610.55,0,0
63,2.57393,613.618,0,0
64,2.72256,462.564,0,0
65,2.35022,1254.01,0,0
66,2.82143,398.964,0,0
67,2.57393,627.274,0,0
68,2.67307,513.709,0,0
69,2.6483,541.461,0,0
70,2.72256,474.475,0,0
71,2.54912,681.885,0,0
72,2.79673,423.846,0,0
73,2.57393,650.367,0,0
74,2.67307,529.015,0,0
75,2.54912,699.176,0,0
76,2.6483,560.644,0,0
77,2.67307,536.255,0,0
78,2.54912,711.814,0,0
79,2.82143,418.797,0,0
80,2.57393,677.462,0,0
81,2.62352,606.429,0,0
82,2.6483,577.757,0,0
83,2.62352,612.708,0,0
84,2.72256,504.035,0,0
85,2.6483,586.821,0,0
86,2.72256,508.764,0,0
87,2.69782,535.972,0,0
88,2.44976,1047.5,0,0
89,2.54912,762.726,0,0
90,2.35022,1719.82,0,0
91,2.6483,601.618,0,0
92,2.59873,678.573,0,0
93,2.7473,498.406,0,0
94,2.69782,550.511,0,0
95,2.89547,395.894,0,0
96,2.72256,530.579,0,0
97,2.67307,589.84,0,0
98,2.6483,626.229,0,0
99,2.79673,469.82,0,0
100,2.7473,515.963,0,0
101,2.67307,602.925,0,0
102,2.82143,456.695,0,0
103,2.49946,991.844,0,0
104,2.72256,551.197,0,0
105,2.67307,615.298,0,0
106,2.89547,412.268,0,0
107,2.59873,749.208,0,0
108,2.67307,625.665,0,0
109,2.54912,877.416,0,0
110,2.57393,816.852,0,0
111,2.59873,764.375,0,0
112,2.79673,494.68,0,0
113,2.7473,545.943,0,0
114,2.52429,988.294,0,0
115,2.54912,911.557,0,0
116,2.62352,734.204,0,0
117,2.6483,691.903,0,0
118,2.54912,928.072,0,0
119,2.59873,798.414,0,0
120,2.72256,589.489,0,0
121,2.7473,562.486,0,0
122,2.82143,490.572,0,0
123,2.84612,472.143,0,0
124,2.69782,637.641,0,0
125,2.6483,724.419,0,0
126,2.59873,837.996,0,0
127,2.6483,731.235,0,0
128,2.92012,425.733,0,0
129,2.57393,927.121,0,0
130,2.7473,587.039,0,0
131,2.94477,414.451,0,0
132,2.89547,450.14,0,0
133,2.7473,598.166,0,0
134,2.67307,717.584,0,0
135,2.72256,638.353,0,0
136,2.69782,680.853,0,0
137,2.9694,408.38,0,0
138,2.72256,649.726,0,0
139,3.06784,358.857,0,0
140,2.84612,508.475,0,0
141,2.79673,562.659,0,0
142,2.82143,538.159,0,0
143,2.67307,763.628,0,0
144,2.82143,542.786,0,0
145,2.89547,475.674,0,0
146,2.6483,838.063,0,0
147,2.69782,731.377,0,0
148,2.7473,649.217,0,0
149,2.62352,923.665,0,0
